Feature,Coefficient
categorical__native-country_Columbia,-1.4353724496139317
categorical__occupation_Priv-house-serv,-1.433897325218829
categorical__marital-status_Never-married,-1.2666814068199683
categorical__sex_Female,-1.0029121193683803
categorical__native-country_Dominican-Republic,-0.9859959172532127
categorical__occupation_Farming-fishing,-0.948902920684716
categorical__native-country_South,-0.9381017069230498
categorical__native-country_Trinadad&Tobago,-0.9215003070962224
categorical__relationship_Other-relative,-0.9129596584928195
categorical__relationship_Own-child,-0.8630698302230375
categorical__occupation_Other-service,-0.8542870307048048
categorical__marital-status_Separated,-0.7792974176968038
categorical__marital-status_Divorced,-0.7651337228668313
categorical__native-country_Nicaragua,-0.714955036474482
categorical__marital-status_Married-spouse-absent,-0.7127159877382723
categorical__occupation_Handlers-cleaners,-0.6910763092962627
categorical__race_Amer-Indian-Eskimo,-0.66987992409581
categorical__marital-status_Widowed,-0.6088626644402559
categorical__workclass_Self-emp-not-inc,-0.5995080044602745
categorical__education_Preschool,-0.5939774026284919
categorical__native-country_Vietnam,-0.551567895242564
categorical__native-country_Thailand,-0.5211375284558216
categorical__native-country_Mexico,-0.5107987661198218
categorical__native-country_Guatemala,-0.4399279078240208
categorical__native-country_El-Salvador,-0.43643117362974315
categorical__race_Black,-0.40699372443270665
categorical__relationship_Husband,-0.40082534961528615
categorical__workclass_State-gov,-0.3967766983805941
categorical__native-country_Scotland,-0.39380847836009475
categorical__native-country_China,-0.3829419415173084
categorical__native-country_Peru,-0.3687284577882281
categorical__education_11th,-0.3645665698465664
categorical__native-country_Laos,-0.35793420875336146
categorical__education_Assoc-acdm,-0.35670429597453
categorical__native-country_Honduras,-0.31838649400300606
categorical__sex_Male,-0.31216936870142065
categorical__native-country_Outlying-US(Guam-USVI-etc),-0.30298441151295774
categorical__workclass_Without-pay,-0.2993640052827024
categorical__workclass_Never-worked,-0.2545304212532809
categorical__native-country_India,-0.23495244640053334
categorical__education_Assoc-voc,-0.21996822216494719
categorical__workclass_Local-gov,-0.18596508124714145
categorical__race_Other,-0.17781942690770536
categorical__occupation_Machine-op-inspct,-0.17017141064378002
categorical__education_12th,-0.1600572488859741
categorical__native-country_Hong,-0.14749594241597902
categorical__education_HS-grad,-0.13962305118055152
categorical__education_10th,-0.13830104056159753
categorical__workclass_Private,-0.13813611752191848
categorical__education_Bachelors,-0.12897810185379227
categorical__race_White,-0.1055187445075819
categorical__native-country_Puerto-Rico,-0.0900804139628358
categorical__education_Some-college,-0.08378080679354191
categorical__native-country_Taiwan,-0.0747999761202254
categorical__relationship_Unmarried,-0.05747721160827065
categorical__native-country_Ecuador,-0.04217213498137147
categorical__education_Masters,-0.033788342414838704
categorical__occupation_Transport-moving,-0.029047793441694315
categorical__education_Doctorate,-0.02594364171297648
categorical__native-country_Holand-Netherlands,-0.012467233824620194
categorical__education_7th-8th,0.011434754676503817
categorical__native-country_Japan,0.04041133270676721
categorical__race_Asian-Pac-Islander,0.045130331871672855
categorical__workclass_Self-emp-inc,0.05279272556809724
categorical__education_9th,0.06978406756911036
categorical__occupation_Adm-clerical,0.07230091119191286
categorical__native-country_Poland,0.07243667260087638
numeric__fnlwgt,0.07886228554804191
categorical__native-country_Greece,0.09247660882052598
categorical__occupation_Craft-repair,0.0999024219372709
categorical__native-country_Jamaica,0.11776418365235683
categorical__relationship_Not-in-family,0.18694683467811848
categorical__education_Prof-school,0.22202544253124892
categorical__occupation_Prof-specialty,0.22695866000414877
categorical__occupation_Sales,0.26549230427697024
numeric__capital-loss,0.2655761185632211
categorical__native-country_Cuba,0.27737765196772296
categorical__education_1st-4th,0.29026844644316196
numeric__age,0.29645330281711296
categorical__native-country_United-States,0.31786817505046966
categorical__occupation_Armed-Forces,0.3220174228153868
categorical__education_5th-6th,0.3370945247297509
numeric__hours-per-week,0.3736393734150816
categorical__native-country_Germany,0.4260266520154007
categorical__native-country_Canada,0.43064818664704824
categorical__native-country_Portugal,0.43201246517078695
categorical__native-country_Hungary,0.4536732821041046
categorical__native-country_Italy,0.48502924620400234
categorical__native-country_Philippines,0.4895684386168022
categorical__workclass_Federal-gov,0.506406114508016
categorical__occupation_Tech-support,0.5181628190193216
categorical__occupation_Protective-serv,0.5210087891785627
categorical__native-country_Haiti,0.5805968395772269
categorical__native-country_Iran,0.5936158542736785
categorical__native-country_Yugoslavia,0.5970289524186294
categorical__relationship_Wife,0.7323037271972763
numeric__education-num,0.7600928958253255
categorical__native-country_England,0.7771027494511636
categorical__occupation_Exec-managerial,0.7864579735029665
categorical__native-country_Cambodia,0.8392934850433105
categorical__native-country_France,0.9214652821328656
categorical__native-country_Ireland,0.9230632817564268
categorical__marital-status_Married-AF-spouse,1.260689461518113
categorical__marital-status_Married-civ-spouse,1.556920249981106
numeric__capital-gain,2.2626686695626295
