Feature,Coefficient
categorical__native-country_Columbia,-1.4353724496139317
categorical__occupation_Priv-house-serv,-1.433897325218829
categorical__marital-status_Never-married,-1.2666814068199683
categorical__sex_Female,-1.0029121193683803
categorical__native-country_Dominican-Republic,-0.9859959172532127
categorical__occupation_Farming-fishing,-0.948902920684716
categorical__native-country_South,-0.9381017069230498
categorical__native-country_Trinadad&Tobago,-0.9215003070962224
categorical__relationship_Other-relative,-0.9129596584928195
categorical__relationship_Own-child,-0.8630698302230375
